@relation 'aggregative attrs'

@attribute count_aw numeric
@attribute count_mw numeric
@attribute 'normalized count_aw' numeric
@attribute 'normalized count_mw' numeric
@attribute PMI_aw numeric
@attribute PMI_mw numeric
@attribute entropy_aw numeric
@attribute entropy_mw numeric
@attribute 'jaccard similarity_aw' numeric
@attribute 'jaccard similarity_mw' numeric
@attribute 'NMS similarity_aw' numeric
@attribute 'NMS similarity_mw' numeric
@attribute 'ontology mentioned_aw' numeric
@attribute 'ontology mentioned_mw' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication_aw' numeric
@attribute 'time to indication_mw' numeric
@attribute label {important,unimportant}

@data
73.5,6,0.287427,0.274854,1.578173,-0.256288,0.227762,0.118389,0.007933,0.000827,0.292417,0.096585,0.5,0,22889,2096,1,6,1,important
4.5,2,0.392857,0.285714,1.484997,1.114576,0.332917,0.319259,0.002084,0.000821,0.257082,0.175007,0,0,3232,633,1,3,2,important
21.5,6,0.262214,0.251701,1.949032,1.295414,0.27517,0.232084,0.00612,0.001397,0.332892,0.212429,0,0,8092,1265,1,2,1,important
3.5,1,0.245,0.24,2.545059,1.90514,0.144594,0,0.001388,0.000576,0.296094,0.227805,1,1,733,207,1,3,3,important
4,2,0.166666,0.133333,0.22376,-0.581507,0.173287,0,0.002417,0.00025,0.177674,0,0,0,10562,1013,1,1,1,important
2.5,1,0.75,0.5,2.885033,1.935925,0.173287,0,0.003997,0.000893,0.386668,0.274309,0,0,426,180,1,5.5,1,important
1,1,0.196429,0.142857,0.761394,0.505434,0,0,0.001007,0.000917,0.218363,0.197727,0,0,1781,256,1,3,1,important
6,2,0.279891,0.125,1.12408,0.0634,0.344896,0.343218,0.002899,0.002849,0.315196,0.310534,0.5,0,5542,890,1,3.5,2,important
2.5,2,0.27922,0.272727,1.424853,1.371625,0.356389,0.346574,0.002773,0.001134,0.319744,0.245277,0,0,2247,485,1,7,6,important
3.5,1,0.34375,0.1875,0.520291,-0.63155,0.112641,0,0.002655,0.000184,0.192324,0,0,0,5552,947,1,9.5,2,important
23,3,0.288597,0.2,1.982734,0.395479,0.091679,0,0.01062,0.000336,0.282878,0.01291,0,0,5964,1031,1,1,1,important
3,1,0.137218,0.131579,-0.58306,-1.64374,0,0,0.000424,0.000181,0.054248,0,0,0,15277,1609,1,6,1,important
3.5,1,0.75,0.5,1.895837,1.255918,0.168568,0,0.002436,0.002009,0.333318,0.303925,0,0,1403,556,1,5.5,3,important
2,1,0.416666,0.333333,2.012306,1.71896,0.159129,0,0.001109,0.000541,0.263211,0.205205,0.5,0,883,315,1,6,6,important
3,2,0.653846,0.307692,2.571875,2.481262,0.173287,0,0.001404,0.000487,0.257,0.173472,0,0,824,376,1,1,1,important
67.5,1,0.195374,0.166667,1.847454,-0.345505,0.077839,0,0.017846,0.00036,0.330179,0.049615,0,0,6959,1127,1,3,1,important
11.5,4,0.242284,0.234568,-1.838776,-2.361887,0.144282,0,0.000331,0.000192,0.004302,0,0,0,209079,6175,1,1,1,unimportant
2,1,0.140541,0.081081,-1.851198,-2.144543,0,0,0.000411,0.00032,0.014306,0.005272,0,0,42059,4312,1,4.5,2,unimportant
1.5,1,0.130252,0.117647,0.161263,0.07065,0.173287,0,0.000352,0.000255,0.048787,0.024867,0,0,4590,972,1,4.5,1,unimportant
47.5,27,0.211848,0.198529,0.722978,0.517104,0.093887,0,0.002211,0.001299,0.216661,0.177039,0,0,79302,5560,0,1,1,unimportant
4,1,0.237903,0.225806,-0.297073,-1.014068,0.102529,0,0.000586,0.000094,0.069215,0,0,0,13580,2136,1,4,3,unimportant
2.5,1,0.340909,0.181818,0.490771,0.053585,0.173287,0,0.001159,0.000234,0.137077,0.009175,0.5,0,4669,915,1,4.5,2,unimportant
92.5,4,0.262804,0.258941,0.959105,-1.202957,0.237717,0.128861,0.007023,0.000238,0.236567,0,0,0,39325,2955,1,1,1,unimportant
1.5,1,0.325,0.25,-1.237588,-1.328201,0.173287,0,0.000239,0.000234,0,0,0,0,18592,2814,1,9.5,7,unimportant
1.5,1,0.625,0.25,-1.813211,-1.903824,0,0,0.000581,0.000169,0.074027,0,0,0,33061,2611,1,8.5,5,unimportant
1.5,1,0.090074,0.0625,-0.355168,-0.957702,0,0,0.000334,0.000156,0.045595,0,0,0,7693,1215,1,7.5,1,unimportant
3,1,0.428571,0.357143,1.710208,0.649528,0.158379,0,0.00183,0.000374,0.255985,0.123837,0,0,1542,329,1,8,7,unimportant
7,4,0.310023,0.25641,0.394854,0.19267,0.147081,0,0.000672,0.000308,0.068646,0.0088,0,0,16251,2794,1,1.5,1,unimportant
3.5,1,0.392857,0.285714,0.422397,-0.217522,0.144594,0,0.001808,0.00021,0.160298,0,0,0,6123,848,1,9.5,4,unimportant
1,1,1,1,3.242379,2.986418,0,0,0.001588,0.000681,0.380936,0.320879,0,0,149,102,1,12.5,7,unimportant
1.5,1,0.215909,0.181818,2.552644,2.462031,0.173287,0,0.000557,0.000475,0.258257,0.241568,0,0,420,133,1,3.5,3,unimportant
8,1,0.168134,0.125,-0.597262,-1.695326,0.142206,0,0.000494,0.000048,0.05418,0,0,0,26839,3790,1,1.5,1,unimportant
1,1,0.154762,0.142857,-0.341141,-0.597101,0,0,0.000647,0.000523,0.109935,0.072909,0,0,5364,1032,1,5.5,1,unimportant
2.5,1,0.4625,0.125,2.027724,1.590538,0,0,0.00121,0.000487,0.246565,0.173472,0,0,1004,278,1,8.5,5,unimportant
14.5,1,0.689189,0.378378,-1.49516,-2.905302,0,0,0.002547,0.001101,0.218744,0.121332,0,0,90002,3013,1,2,1,unimportant
6.5,2,0.214286,0.166667,0.000296,-0.596117,0.299878,0.253182,0.000854,0.000582,0.110977,0.085746,0,0,17882,3385,0,1.5,1,unimportant
8.5,1,0.379032,0.258065,0.842502,-0.799753,0.146922,0,0.003391,0.000342,0.212783,0.01641,0.5,0,6569,993,1,8.5,2,unimportant
1,1,0.375,0.25,-0.664666,-0.920627,0,0,0.000405,0.000143,0.044815,0,0,0,7413,1317,1,7,5,unimportant
1,1,0.555555,0.111111,0.077271,-0.178689,0,0,0.000713,0.000667,0.141561,0.123456,0,0,3530,555,1,7,6,unimportant
23.5,12,0.347058,0.307018,1.442061,0.65088,0.209979,0.209247,0.002513,0.001027,0.224877,0.124662,0,0,18479,1805,1,1.5,1,unimportant
1,1,0.291666,0.083333,0.779525,0.523564,0,0,0.000409,0.000364,0.134259,0.11478,0,0,1749,376,1,4.5,3,unimportant
3.5,2,0.310976,0.121951,0.21321,-0.500896,0.173287,0,0.001675,0.000377,0.157632,0.013444,0,0,9744,1241,1,5,2,unimportant
1.5,1,0.361111,0.222222,0.001711,-0.600823,0,0,0.000697,0.000374,0.106975,0.056101,0,0,5384,928,1,7.5,2,unimportant
1.5,1,0.45,0.4,-0.585125,-0.675738,0,0,0.000744,0.000318,0.09824,0.029297,0,0,9682,1041,1,3.5,2,unimportant
3.5,2,0.192568,0.135135,-0.830053,-1.544159,0.125101,0,0.001245,0.00023,0.126518,0,0,0,27658,1748,1,2,1,unimportant
1,1,0.291666,0.25,0.088954,-0.167007,0,0,0.000423,0.000255,0.076559,0.013102,0,0,3489,652,1,3.5,3,unimportant
1,1,0.75,0.5,-1.47017,-1.726131,0,0,0.00016,0.000156,0,0,0,0,16589,2009,1,10,9,unimportant
1,1,0.545454,0.090909,-0.123528,-0.379489,0,0,0.000617,0.000455,0.12053,0.076254,0,0,4315,685,1,6.5,6,unimportant
2.5,2,0.112631,0.105263,-1.186289,-1.644983,0.173287,0,0.000507,0.000317,0.052374,0,0.5,0,30592,3205,1,2.5,2,unimportant
3.5,1,0.188236,0.176471,-0.125366,-0.765285,0.144594,0,0.000771,0.000272,0.088311,0.005418,0,0,10589,1192,1,1.5,1,unimportant
5,4,0.196825,0.171429,1.246396,1.193168,0.166208,0,0.002664,0.001596,0.303014,0.255479,0,0,5372,732,1,2.5,1,unimportant
2.5,1,0.403846,0.307692,2.718882,2.281695,0.173287,0,0.001175,0.00058,0.286882,0.23074,0,0,503,188,1,2,2,unimportant
2.5,1,0.320512,0.307692,0.905813,-0.043295,0.173287,0,0.001469,0.001441,0.244413,0.240046,0,0,3083,597,1,3,3,unimportant
7,1,0.597015,0.19403,1.677528,0.651014,0.139299,0,0.007377,0.000756,0.36534,0.195289,0,0,2569,465,1,5.5,1,unimportant
1.5,1,0.1875,0.125,1.332375,0.729841,0,0,0.000927,0.000387,0.218245,0.136436,0,0,1423,356,1,1.5,1,unimportant
1,1,0.15625,0.0625,-0.008724,-0.264685,0,0,0.000376,0.000229,0.057683,0,0,0,3847,813,1,7.5,1,unimportant
1.5,1,0.133333,0.066667,-1.778027,-2.380562,0.173287,0,0.000256,0.000183,0.005817,0,0,0,31918,2961,1,4,3,unimportant
6.5,2,0.43913,0.4,0.839758,0.243345,0.126591,0,0.001495,0.000254,0.133934,0,0,0,7724,1356,1,2,1,unimportant
2.5,1,0.404762,0.142857,0.838704,0.401517,0.140584,0,0.000639,0.000554,0.134725,0.127247,0,0,3297,643,1,6,1,unimportant
7,3,0.230769,0.211538,0.738022,0.344342,0.305194,0.29213,0.001187,0.000744,0.163931,0.127802,0,0,10473,1875,1,1.5,1,unimportant
1,1,0.333333,0.333333,-1.08455,-1.340511,0,0,0.000426,0.000129,0.048049,0,0,0,11281,1297,1,6.5,5,unimportant
2,1,0.625,0.5,0.727855,0.434509,0,0,0.000496,0.000275,0.089799,0.039287,0,0,3190,671,1,6,2,unimportant
32,11,0.319445,0.305556,0.136234,-0.905926,0.204339,0.171607,0.000798,0.000437,0.081867,0.001156,0,0,80353,6184,0,4,1,unimportant
3.5,1,0.208334,0.166667,0.16241,-0.477509,0.112641,0,0.001636,0.000963,0.205688,0.162513,0,0,7941,1518,1,5.5,5,unimportant
1.5,1,0.35,0.2,0.862723,0.260189,0,0,0.00158,0.000842,0.249329,0.17816,0,0,2276,360,1,6.5,3,unimportant
3,2,0.150997,0.148148,-0.602024,-1.204558,0,0,0.000996,0.000322,0.10848,0,0,0,19694,1429,1,5,5,unimportant
1,1,0.128788,0.090909,-1.282033,-1.537994,0,0,0.000355,0.000106,0.033388,0,0,0,13744,1500,1,1,1,unimportant
2,1,0.103147,0.090909,-0.415609,-1.220876,0.159129,0,0.000417,0.000155,0.063003,0,0,0,10009,1211,1,5.5,4,unimportant
1,1,0.266667,0.2,1.932777,1.676816,0,0,0.000694,0.000545,0.227737,0.20795,0,0,552,180,1,4,3,unimportant
4,3,0.161459,0.15625,-0.165541,-0.676915,0.351355,0.336506,0.000674,0.00052,0.088994,0.075795,0,0,17429,1884,1,3.5,1,unimportant
8.5,2,0.432927,0.365854,2.008122,0.744709,0.234519,0.122465,0.005621,0.000498,0.297276,0.097319,0,0,2804,745,1,6,2,unimportant
25.5,5,0.307706,0.208333,1.601531,0.74789,0.110108,0,0.00385,0.002433,0.312597,0.274246,0,0,11659,1626,1,1.5,1,unimportant
2.5,1,0.5,0.333333,1.085867,0.136759,0.173287,0,0.000557,0.000515,0.124342,0.105874,0,0,2575,846,1,5,3,unimportant
1.5,1,0.571429,0.142857,-0.983612,-1.074224,0,0,0.00059,0.00044,0.071362,0.021955,0,0,14422,1611,1,7.5,7,unimportant
1.5,1,0.162338,0.142857,0.525436,0.434823,0,0,0.000534,0.000298,0.106528,0.055664,0.5,0,3189,634,1,3,1,unimportant
1.5,1,0.183334,0.166667,0.655524,0.564911,0.173287,0,0.001515,0.00092,0.244735,0.198526,0,0,2800,520,1,1.5,1,unimportant
45.5,1,0.367857,0.2,2.38041,0.386466,0.037846,0,0.500153,0.000306,0.530668,0.061336,0,0,3347,544,1,6.5,1,unimportant
3,1,0.458334,0.416667,1.89721,1.348452,0.125101,0,0.001259,0.000428,0.226415,0.139448,0,0,1279,390,1,4,1,unimportant
4,1,0.179167,0.125,1.865557,0.636642,0.159283,0,0.002102,0.00032,0.236032,0.074609,0,0,1562,491,0,2,1,unimportant
2.5,1,0.305555,0.166667,1.03403,0.084922,0,0,0.000907,0.000265,0.143985,0.023777,0,0,2712,515,1,5.5,1,unimportant
2.5,2,0.245614,0.157895,-1.665926,-1.719155,0,0,0.000139,0.000122,0,0,0,0,49421,3124,1,2.5,1,unimportant
4.5,3,0.3,0.2,1.394964,1.304351,0.271769,0.225281,0.000918,0.000658,0.159974,0.13371,0,0,4010,1142,1,3,1,unimportant
3.5,1,0.153409,0.125,-2.335384,-2.975303,0.112641,0,0.000209,0.000123,0,0,0,0,96528,4453,1,7.5,2,unimportant
8,1,0.304744,0.109489,2.108704,1.01064,0.128688,0,0.007385,0.000424,0.339012,0.136931,0,0,1793,355,1,4,1,unimportant
2,1,0.35,0.2,0.211714,-0.081631,0.183102,0,0.000195,0.000185,0,0,0,0,5345,960,1,5,2,unimportant
2,1,0.15,0.1,0.019155,-0.27419,0.183102,0,0.000812,0.000441,0.135736,0.084256,0,0,6480,903,1,4.5,2,unimportant
3,1,0.631579,0.263158,1.23988,0.691122,0.158379,0,0.001288,0.000293,0.174658,0.052648,0,0,2468,977,1,10.5,4,unimportant
8.5,3,0.110243,0.109375,4.741647,2.843392,0.285631,0.205058,0.01117,0.003859,0.538778,0.419816,1,1,2673,546,1,1,1,important
9,1,0.575893,0.151786,6.538469,3.99383,0,0,0.050503,0.001007,0.57231,0.334463,0,0,282,100,1,1,1,important
1,1,0.071739,0.043478,1.008028,-0.120005,0,0,0.000229,0.000176,0.148114,0,0,0,17253,2012,1,7,1,important
4.5,3,0.158003,0.139535,3.154567,1.679961,0.155306,0,0.003565,0.003257,0.437982,0.36914,0,0,8556,976,1,1.5,1,important
1,1,1,1,2.139337,1.011305,0,0,0.00024,0.000218,0.164391,0.03856,0,0,5566,1114,1,4,1,unimportant
2.5,2,0.166666,0.111111,-0.207224,-1.537989,0,0,0.000084,0.000074,0.090343,0,0,0,142468,6763,0,1,1,unimportant
18.5,1,0.228572,0.2,0.82317,0.159444,0.096186,0,0.000588,0.000023,0.145712,0.080394,0,0,124537,5210,0,1,1,unimportant
5,1,0.195313,0.140625,1.83482,-0.391825,0.159129,0,0.000337,0.000143,0.175168,0,0,0,22642,2267,1,1,1,unimportant
2,1,0.2,0.1,1.091799,-2.205259,0.159129,0,0.00046,0.000378,0.185135,0,0,0,14108,1418,1,3.5,2,important
57.5,1,0.156405,0.125,4.556335,4.176682,0.0668,0,0.009872,0.000493,0.433395,0.363113,0,0,2721,466,1,1,1,unimportant
