@relation 'statAttr-weka.filters.unsupervised.attribute.Remove-R1-5,7-8,14-16,18-19'

@attribute PMI(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute novel(B) numeric
@attribute label {important,unimportant}

@data
3.412634,0.000827,0.015039,0.096585,0.488249,0,1,important
1.114576,0.003347,0.000821,0.339156,0.175007,0,1,important
1.295414,0.010843,0.001397,0.453356,0.212429,0,1,important
1.90514,0.002201,0.000576,0.364382,0.227805,1,1,important
1.029027,0.00025,0.004584,0,0.355348,0,1,important
3.834141,0.000893,0.007101,0.274309,0.499027,0,1,important
1.017355,0.000917,0.001098,0.197727,0.239,0,1,important
2.18476,0.002948,0.002849,0.310534,0.319858,0,1,important
1.478082,0.004412,0.001134,0.394212,0.245277,0,1,important
1.672132,0.000184,0.005127,0,0.384647,0,1,important
3.569989,0.000336,0.020904,0.01291,0.552846,0,1,important
0.47762,0.000181,0.000667,0,0.108496,0,1,important
1.255918,0.002009,0.002862,0.303925,0.362711,0,1,important
1.71896,0.001676,0.000541,0.321216,0.205205,0,1,important
2.481262,0.00232,0.000487,0.340528,0.173472,0,1,important
-0.345505,0.035332,0.00036,0.610744,0.049615,0,1,important
-2.361887,0.000471,0.000192,0.008604,0,0,1,unimportant
-2.144543,0.000503,0.00032,0.02334,0.005272,0,1,unimportant
0.07065,0.000448,0.000255,0.072706,0.024867,0,1,unimportant
0.517104,0.003123,0.001299,0.256282,0.177039,0,0,unimportant
-1.014068,0.001078,0.000094,0.13843,0,0,1,unimportant
0.053585,0.002085,0.000234,0.264979,0.009175,0,1,unimportant
3.121167,0.000238,0.013807,0,0.473134,0,1,unimportant
-1.328201,0.000234,0.000244,0,0,0,1,unimportant
-1.903824,0.000169,0.000993,0,0.148055,0,1,unimportant
0.247367,0.000156,0.000512,0,0.091189,0,1,unimportant
2.770888,0.000374,0.003286,0.123837,0.388132,0,1,unimportant
0.19267,0.001035,0.000308,0.128493,0.0088,0,1,unimportant
-0.217522,0.003405,0.00021,0.320595,0,0,1,unimportant
3.498339,0.002495,0.000681,0.440993,0.320879,0,1,unimportant
2.462031,0.000475,0.000638,0.241568,0.274946,0,1,unimportant
-1.695326,0.000939,0.000048,0.10836,0,0,1,unimportant
-0.08518,0.000523,0.000771,0.072909,0.14696,0,1,unimportant
1.590538,0.001933,0.000487,0.319658,0.173472,0,1,unimportant
-2.905302,0.001101,0.003993,0.121332,0.316155,0,1,unimportant
-0.596117,0.001126,0.000582,0.136208,0.085746,0,0,unimportant
2.484757,0.000342,0.006441,0.01641,0.409156,0,1,unimportant
-0.408705,0.000666,0.000143,0.089629,0,0,1,unimportant
0.333232,0.000667,0.000758,0.123456,0.159666,0,1,unimportant
2.233243,0.001027,0.003999,0.124662,0.325091,0,1,unimportant
1.035486,0.000364,0.000453,0.11478,0.153737,0,1,unimportant
0.927317,0.000377,0.002973,0.013444,0.301819,0,1,unimportant
0.604246,0.001021,0.000374,0.157848,0.056101,0,1,unimportant
-0.675738,0.001171,0.000318,0.167184,0.029297,0,1,unimportant
-0.115947,0.00023,0.002259,0,0.253035,0,1,unimportant
0.344915,0.000255,0.00059,0.013102,0.140015,0,1,unimportant
-1.214209,0.000156,0.000163,0,0,0,1,unimportant
0.132433,0.000455,0.000779,0.076254,0.164805,0,1,unimportant
-0.727596,0.000317,0.000697,0,0.104748,0,1,unimportant
-0.765285,0.00127,0.000272,0.171203,0.005418,0,1,unimportant
1.299624,0.003731,0.001596,0.350549,0.255479,0,1,unimportant
2.281695,0.00177,0.00058,0.343023,0.23074,0,1,unimportant
1.854922,0.001497,0.001441,0.240046,0.24878,0,1,unimportant
0.651014,0.013999,0.000756,0.53539,0.195289,0,1,unimportant
1.93491,0.000387,0.001468,0.136436,0.300053,0,1,unimportant
0.247237,0.000229,0.000522,0,0.115366,0,1,unimportant
-1.175493,0.000183,0.000329,0,0.011635,0,1,unimportant
0.243345,0.002736,0.000254,0.267868,0,0,1,unimportant
0.401517,0.000724,0.000554,0.142203,0.127247,0,1,unimportant
0.344342,0.00163,0.000744,0.20006,0.127802,0,1,unimportant
-0.82859,0.000723,0.000129,0.096098,0,0,1,unimportant
0.434509,0.000718,0.000275,0.14031,0.039287,0,1,unimportant
1.178393,0.000437,0.00116,0.001156,0.162578,0,0,unimportant
-0.477509,0.002308,0.000963,0.248863,0.162513,0,1,unimportant
1.465258,0.000842,0.002319,0.17816,0.320499,0,1,unimportant
0.000511,0.000322,0.001671,0,0.21696,0,1,unimportant
-1.026072,0.000604,0.000106,0.066775,0,0,1,unimportant
0.389658,0.000155,0.000679,0,0.126006,0,1,unimportant
2.188738,0.000843,0.000545,0.247524,0.20795,0,1,unimportant
0.345833,0.000828,0.00052,0.102193,0.075795,0,1,unimportant
3.271534,0.000498,0.010743,0.097319,0.497232,0,1,unimportant
0.74789,0.005267,0.002433,0.350949,0.274246,0,1,unimportant
2.034975,0.000515,0.000598,0.105874,0.14281,0,1,unimportant
-1.074224,0.00044,0.00074,0.021955,0.12077,0,1,unimportant
0.434823,0.00077,0.000298,0.157393,0.055664,0,1,unimportant
0.564911,0.002109,0.00092,0.290943,0.198526,0,1,unimportant
0.386466,1,0.000306,1,0.061336,0,1,unimportant
1.348452,0.002091,0.000428,0.313381,0.139448,0,1,unimportant
3.094473,0.00032,0.003883,0.074609,0.397455,0,0,unimportant
1.983138,0.000265,0.00155,0.023777,0.264194,0,1,unimportant
-1.612698,0.000122,0.000155,0,0,0,1,unimportant
1.304351,0.001178,0.000658,0.186239,0.13371,0,1,unimportant
-2.975303,0.000123,0.000296,0,0,0,1,unimportant
1.01064,0.014346,0.000424,0.541092,0.136931,0,1,unimportant
-0.081631,0.000185,0.000205,0,0,0,1,unimportant
-0.27419,0.001183,0.000441,0.187217,0.084256,0,1,unimportant
0.691122,0.002284,0.000293,0.296667,0.052648,0,1,unimportant
2.843392,0.018482,0.003859,0.657739,0.419816,1,1,important
3.99383,0.1,0.001007,0.810157,0.334463,0,1,important
-0.120005,0.000283,0.000176,0.296228,0,0,1,important
1.679961,0.003257,0.003873,0.506825,0.36914,0,1,important
1.011305,0.000262,0.000218,0.290222,0.03856,0,1,unimportant
-1.537989,0.000074,0.000095,0.180687,0,0,0,unimportant
1.486897,0.000023,0.001152,0.080394,0.211031,0,0,unimportant
-0.391825,0.000531,0.000143,0.350336,0,0,1,unimportant
-2.205259,0.000543,0.000378,0.37027,0,0,1,important
4.176682,0.000493,0.019252,0.363113,0.503676,0,1,unimportant
0.842894,0.000269,0.000942,0.311883,0.05263,0,1,unimportant
2.234516,0.00135,0.003972,0.447792,0.322312,0,1,unimportant
-0.788051,0.000038,0.000663,0.146502,0,0,1,unimportant
0.681391,0.000223,0.00742,0.295721,0.242118,0,1,unimportant
3.332855,0.003311,0.002557,0.525204,0.335254,0,1,unimportant
1.225923,0.000595,0.000936,0.379029,0.129647,0,1,unimportant
1.729941,0.001376,0.00414,0.448439,0.263387,0,1,unimportant
1.034656,0.000656,0.004252,0.386016,0.208145,0,1,unimportant
-0.13917,0.000148,0.005622,0.261277,0.175669,0,1,unimportant
1.974732,0.006098,0.001732,0.574572,0.252454,0,1,unimportant
1.809524,0.00039,0.004938,0.342805,0.265983,0,1,unimportant
0.04598,0.000049,0.003065,0.169211,0.099897,0,1,unimportant
2.08138,0.000602,0.002033,0.3801,0.229324,0,1,unimportant
3.006975,0.000295,0.009367,0.319518,0.381864,0,1,unimportant
1.661416,0.000116,0.008351,0.240938,0.277896,0,1,unimportant
-1.433238,0.000284,0.000204,0.316246,0,0,1,unimportant
1.402208,0.001626,0.003243,0.462427,0.22783,0,1,unimportant
2.844437,0.001799,0.001856,0.430056,0.330463,0,1,important
3.280887,0.002737,0.003192,0.46839,0.392024,0,1,important
6.242667,0.336957,0.006865,0.932672,0.567927,0,1,important
4.517383,0.00443,0.006579,0.517171,0.500447,0,1,important
2.472208,0.011236,0.001617,0.596572,0.32817,0,1,important
3.154839,0.00318,0.001056,0.490505,0.319983,1,1,important
6.198557,0.002232,1,0.463029,1,0,1,unimportant
-1.25645,0.000018,0.000018,0.015837,0,0,1,unimportant
-0.971292,0.000055,0.000054,0.114369,0,0,1,unimportant
1.03256,0.00008,0.00027,0.148232,0.118834,0,0,unimportant
2.77914,0.000835,0.001321,0.365115,0.319698,0,1,unimportant
2.755832,0.000916,0.007143,0.373983,0.502951,0,1,unimportant
4.886226,1,0.002232,1,0.463029,0,1,unimportant
5.328732,0.015267,0.006711,0.682988,0.561613,0,1,unimportant
-0.387737,0.000129,0.000255,0.191863,0.113754,0,1,unimportant
1.835661,0.000482,0.000464,0.311166,0.181186,0,1,unimportant
0.341642,0.000662,0.000184,0.339655,0.080614,0,1,unimportant
2.80771,0.002578,0.009235,0.461817,0.466161,1,1,important
0.773785,0.000692,0.00336,0.341341,0.307365,0,1,important
