@relation 'statAttr-weka.filters.unsupervised.attribute.Remove-R1-14,18-19'

@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute label {important,unimportant}

@data
22889,2096,1,important
3232,633,1,important
8092,1265,1,important
733,207,1,important
10562,1013,1,important
426,180,1,important
1781,256,1,important
5542,890,1,important
2247,485,1,important
5552,947,1,important
5964,1031,1,important
15277,1609,1,important
1403,556,1,important
883,315,1,important
824,376,1,important
6959,1127,1,important
209079,6175,1,unimportant
42059,4312,1,unimportant
4590,972,1,unimportant
79302,5560,0,unimportant
13580,2136,1,unimportant
4669,915,1,unimportant
39325,2955,1,unimportant
18592,2814,1,unimportant
33061,2611,1,unimportant
7693,1215,1,unimportant
1542,329,1,unimportant
16251,2794,1,unimportant
6123,848,1,unimportant
149,102,1,unimportant
420,133,1,unimportant
26839,3790,1,unimportant
5364,1032,1,unimportant
1004,278,1,unimportant
90002,3013,1,unimportant
17882,3385,0,unimportant
6569,993,1,unimportant
7413,1317,1,unimportant
3530,555,1,unimportant
18479,1805,1,unimportant
1749,376,1,unimportant
9744,1241,1,unimportant
5384,928,1,unimportant
9682,1041,1,unimportant
27658,1748,1,unimportant
3489,652,1,unimportant
16589,2009,1,unimportant
4315,685,1,unimportant
30592,3205,1,unimportant
10589,1192,1,unimportant
5372,732,1,unimportant
503,188,1,unimportant
3083,597,1,unimportant
2569,465,1,unimportant
1423,356,1,unimportant
3847,813,1,unimportant
31918,2961,1,unimportant
7724,1356,1,unimportant
3297,643,1,unimportant
10473,1875,1,unimportant
11281,1297,1,unimportant
3190,671,1,unimportant
80353,6184,0,unimportant
7941,1518,1,unimportant
2276,360,1,unimportant
19694,1429,1,unimportant
13744,1500,1,unimportant
10009,1211,1,unimportant
552,180,1,unimportant
17429,1884,1,unimportant
2804,745,1,unimportant
11659,1626,1,unimportant
2575,846,1,unimportant
14422,1611,1,unimportant
3189,634,1,unimportant
2800,520,1,unimportant
3347,544,1,unimportant
1279,390,1,unimportant
1562,491,0,unimportant
2712,515,1,unimportant
49421,3124,1,unimportant
4010,1142,1,unimportant
96528,4453,1,unimportant
1793,355,1,unimportant
