@relation statAttr

@attribute count(AB) numeric
@attribute count(BC) numeric
@attribute 'normalized count(AB)' numeric
@attribute 'normalized count(BC)' numeric
@attribute PMI(AB) numeric
@attribute PMI(BC) numeric
@attribute entropy(AB) numeric
@attribute entropy(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute 'ontology mentioned(BC)' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication(AB)' numeric
@attribute 'time to indication(BC)' numeric
@attribute label {important,unimportant}

@data
6,141,0.3,0.274854,-0.256288,3.412634,0.337135,0.118389,0.000827,0.015039,0.096585,0.488249,0,1,22889,2096,1,11,1,important
7,2,0.5,0.285714,1.855418,1.114576,0.319259,0.346574,0.003347,0.000821,0.339156,0.175007,0,0,3232,633,1,2,4,important
37,6,0.251701,0.272727,2.602651,1.295414,0.232084,0.318257,0.010843,0.001397,0.453356,0.212429,0,0,8092,1265,1,1,3,important
6,1,0.24,0.25,3.184978,1.90514,0.289188,0,0.002201,0.000576,0.364382,0.227805,1,1,733,207,1,3,3,important
2,6,0.133333,0.2,-0.581507,1.029027,0.346574,0,0.00025,0.004584,0,0.355348,0,0,10562,1013,1,1,1,important
1,4,0.5,1,1.935925,3.834141,0,0.346574,0.000893,0.007101,0.274309,0.499027,0,0,426,180,1,10,1,important
1,1,0.25,0.142857,0.505434,1.017355,0,0,0.000917,0.001098,0.197727,0.239,0,0,1781,256,1,5,1,important
2,10,0.125,0.434783,0.0634,2.18476,0.346574,0.343218,0.002948,0.002849,0.310534,0.319858,0,1,5542,890,1,5,2,important
3,2,0.272727,0.285714,1.371625,1.478082,0.366204,0.346574,0.004412,0.001134,0.394212,0.245277,0,0,2247,485,1,6,8,important
1,6,0.5,0.1875,-0.63155,1.672132,0,0.225281,0.000184,0.005127,0,0.384647,0,0,5552,947,1,17,2,important
3,43,0.2,0.377193,0.395479,3.569989,0,0.183358,0.000336,0.020904,0.01291,0.552846,0,0,5964,1031,1,1,1,important
1,5,0.142857,0.131579,-1.64374,0.47762,0,0,0.000181,0.000667,0,0.108496,0,0,15277,1609,1,11,1,important
6,1,0.5,1,2.535755,1.255918,0.337135,0,0.002009,0.002862,0.303925,0.362711,0,0,1403,556,1,3,8,important
3,1,0.5,0.333333,2.305651,1.71896,0.318257,0,0.001676,0.000541,0.321216,0.205205,0,1,883,315,1,6,6,important
4,2,0.307692,1,2.662488,2.481262,0.346574,0,0.00232,0.000487,0.340528,0.173472,0,0,824,376,1,1,1,important
134,1,0.22408,0.166667,4.040413,-0.345505,0.155677,0,0.035332,0.00036,0.610744,0.049615,0,0,6959,1127,1,1,5,important
19,4,0.234568,0.25,-1.315665,-2.361887,0.288563,0,0.000471,0.000192,0.008604,0,0,0,209079,6175,1,1,1,unimportant
3,1,0.081081,0.2,-1.557853,-2.144543,0,0,0.000503,0.00032,0.02334,0.005272,0,0,42059,4312,1,2,7,unimportant
2,1,0.117647,0.142857,0.251876,0.07065,0.346574,0,0.000448,0.000255,0.072706,0.024867,0,0,4590,972,1,1,8,unimportant
68,27,0.225166,0.198529,0.928853,0.517104,0.187774,0,0.003123,0.001299,0.256282,0.177039,0,0,79302,5560,0,1,1,unimportant
7,1,0.225806,0.25,0.419921,-1.014068,0.205058,0,0.001078,0.000094,0.13843,0,0,0,13580,2136,1,3,5,unimportant
4,1,0.181818,0.5,0.927958,0.053585,0.346574,0,0.002085,0.000234,0.264979,0.009175,0,1,4669,915,1,2,7,unimportant
4,181,0.266667,0.258941,-1.202957,3.121167,0.346574,0.128861,0.000238,0.013807,0,0.473134,0,0,39325,2955,1,1,1,unimportant
2,1,0.4,0.25,-1.146976,-1.328201,0.346574,0,0.000234,0.000244,0,0,0,0,18592,2814,1,7,12,unimportant
2,1,1,0.25,-1.722599,-1.903824,0,0,0.000169,0.000993,0,0.148055,0,0,33061,2611,1,12,5,unimportant
1,2,0.0625,0.117647,-0.957702,0.247367,0,0,0.000156,0.000512,0,0.091189,0,0,7693,1215,1,14,1,unimportant
1,5,0.5,0.357143,0.649528,2.770888,0,0.316757,0.000374,0.003286,0.123837,0.388132,0,0,1542,329,1,9,7,unimportant
10,4,0.25641,0.363636,0.597039,0.19267,0.294162,0,0.001035,0.000308,0.128493,0.0088,0,0,16251,2794,1,1,2,unimportant
6,1,0.285714,0.5,1.062316,-0.217522,0.289188,0,0.003405,0.00021,0.320595,0,0,0,6123,848,1,4,15,unimportant
1,1,1,1,2.986418,3.498339,0,0,0.002495,0.000681,0.440993,0.320879,0,0,149,102,1,18,7,unimportant
2,1,0.181818,0.25,2.643256,2.462031,0.346574,0,0.000475,0.000638,0.241568,0.274946,0,0,420,133,1,3,4,unimportant
15,1,0.211268,0.125,0.500803,-1.695326,0.284412,0,0.000939,0.000048,0.10836,0,0,0,26839,3790,1,2,1,unimportant
1,1,0.166667,0.142857,-0.597101,-0.08518,0,0,0.000523,0.000771,0.072909,0.14696,0,0,5364,1032,1,10,1,unimportant
4,1,0.8,0.125,2.464911,1.590538,0,0,0.001933,0.000487,0.319658,0.173472,0,0,1004,278,1,5,12,unimportant
28,1,0.378378,1,-0.085019,-2.905302,0,0,0.001101,0.003993,0.121332,0.316155,0,0,90002,3013,1,1,3,unimportant
11,2,0.261905,0.166667,0.596709,-0.596117,0.253182,0.346574,0.001126,0.000582,0.136208,0.085746,0,0,17882,3385,0,2,1,unimportant
1,16,0.5,0.258065,-0.799753,2.484757,0,0.293844,0.000342,0.006441,0.01641,0.409156,0,1,6569,993,1,15,2,unimportant
1,1,0.25,0.5,-0.920627,-0.408705,0,0,0.000666,0.000143,0.089629,0,0,0,7413,1317,1,9,5,unimportant
1,1,0.111111,1,-0.178689,0.333232,0,0,0.000667,0.000758,0.123456,0.159666,0,0,3530,555,1,6,8,unimportant
12,35,0.387097,0.307018,0.65088,2.233243,0.209247,0.21071,0.001027,0.003999,0.124662,0.325091,0,0,18479,1805,1,2,1,unimportant
1,1,0.083333,0.5,0.523564,1.035486,0,0,0.000364,0.000453,0.11478,0.153737,0,0,1749,376,1,3,6,unimportant
2,5,0.5,0.121951,-0.500896,0.927317,0.346574,0,0.000377,0.002973,0.013444,0.301819,0,0,9744,1241,1,8,2,unimportant
1,2,0.5,0.222222,-0.600823,0.604246,0,0,0.001021,0.000374,0.157848,0.056101,0,0,5384,928,1,2,13,unimportant
2,1,0.4,0.5,-0.494513,-0.675738,0,0,0.001171,0.000318,0.167184,0.029297,0,0,9682,1041,1,5,2,unimportant
2,5,0.25,0.135135,-1.544159,-0.115947,0,0.250201,0.00023,0.002259,0,0.253035,0,0,27658,1748,1,3,1,unimportant
1,1,0.25,0.333333,-0.167007,0.344915,0,0,0.000255,0.00059,0.013102,0.140015,0,0,3489,652,1,4,3,unimportant
1,1,0.5,1,-1.726131,-1.214209,0,0,0.000156,0.000163,0,0,0,0,16589,2009,1,9,11,unimportant
1,1,0.090909,1,-0.379489,0.132433,0,0,0.000455,0.000779,0.076254,0.164805,0,0,4315,685,1,7,6,unimportant
2,3,0.105263,0.12,-1.644983,-0.727596,0.346574,0,0.000317,0.000697,0,0.104748,0,1,30592,3205,1,2,3,unimportant
6,1,0.176471,0.2,0.514552,-0.765285,0.289188,0,0.00127,0.000272,0.171203,0.005418,0,0,10589,1192,1,1,2,unimportant
6,4,0.171429,0.222222,1.193168,1.299624,0.332415,0,0.003731,0.001596,0.350549,0.255479,0,0,5372,732,1,1,4,unimportant
4,1,0.307692,0.5,3.156068,2.281695,0.346574,0,0.00177,0.00058,0.343023,0.23074,0,0,503,188,1,2,2,unimportant
1,4,0.333333,0.307692,-0.043295,1.854922,0,0.346574,0.001497,0.001441,0.240046,0.24878,0,0,3083,597,1,3,3,unimportant
13,1,0.19403,1,2.704041,0.651014,0.278599,0,0.013999,0.000756,0.53539,0.195289,0,0,2569,465,1,1,10,unimportant
1,2,0.125,0.25,0.729841,1.93491,0,0,0.000387,0.001468,0.136436,0.300053,0,0,1423,356,1,1,2,unimportant
1,1,0.0625,0.25,-0.264685,0.247237,0,0,0.000229,0.000522,0,0.115366,0,0,3847,813,1,14,1,unimportant
1,2,0.066667,0.2,-2.380562,-1.175493,0,0.346574,0.000183,0.000329,0,0.011635,0,0,31918,2961,1,5,3,unimportant
11,2,0.478261,0.4,1.436172,0.243345,0.253182,0,0.002736,0.000254,0.267868,0,0,0,7724,1356,1,3,1,unimportant
